,prime,target,group,pair_index,mask,l1_l2,key_name,correct,response_time,key_tDown,fixation_dur,bm_dur,prime_dur,fm_dur,target_dur
0,FACA,box,incongruent,68,UXTLQOSB,PorEng,m,True,0.6209566000034101,195220.992193,0.6868177000142168,0.09686219997820444,0.05432930000824854,0.04725269999471493,0.8093476000067312
1,DENTI,tooth,control,119,EVPDZYZE,PorEng,m,True,0.8539944999793079,195222.9421545,0.6869914999988396,0.09688689999165945,0.04999070000485517,0.0513644999882672,1.0385721000202466
2,METADE,better,incongruent,84,CLMRPKEO,PorEng,m,False,0.6551901000202633,195224.6941667,0.6893973000114784,0.09413119999226183,0.05010069999843836,0.051555999991251156,0.851156999997329
3,CANTAR,danger,incongruent,96,HSBGBKQK,PorEng,z,True,0.8559304999944288,195228.4951535,0.6871690999832936,0.09615389999817125,0.05012250001891516,0.05134659999748692,1.0936622000008356
4,LOBO,lake,incongruent,60,HBQFWXKV,PorEng,m,True,0.6450807999935932,195230.2854849,0.6893154999997932,0.09372850001091138,0.05016240000259131,0.05148449999978766,0.8192811000044458
5,TRISTEZA,half,incongruent,85,SCTLUIUU,PorEng,z,True,0.667488000006415,195232.042276,0.6860060000035446,0.09788449999177828,0.05018370001926087,0.05174080000142567,0.9144717000017408
6,PECO,dry,control,138,JIVMOFGK,PorEng,z,True,0.693357099982677,195233.9081978,0.6873712000087835,0.09628179998253472,0.0499967000214383,0.05894259997876361,0.9346623000164982
7,CAVALO,horse,congruent,3,GHTIXFSQ,PorEng,z,False,0.7415312000084668,195235.8004389,0.6873137000075076,0.09610650001559407,0.04989179997937754,0.051880600018193945,0.9880364999989979
8,ESCADA,ladder,congruent,5,QHKDBBRM,PorEng,m,True,1.1212767999968491,195239.4141472,0.6863675999920815,0.09729239999433048,0.05003830001805909,0.05170630000066012,1.33613779998268
9,LUGO,lake,control,109,WCLSIZEB,PorEng,m,True,0.5553176999965217,195241.0981733,0.6863337999966461,0.09733069999492727,0.0500369000073988,0.051443599979393184,0.7623386000050232
