,prime,target,group,pair_index,mask,l1_l2,key_name,correct,response_time,key_tDown,fixation_dur,bm_dur,prime_dur,fm_dur,target_dur
0,arnário,wardrobe,control,122,UHDSVMVA,PorEng,m,True,0.8810101000126451,207877.244949,0.49994820001302287,0.09978429999318905,0.04972410001209937,0.052282199991168454,1.0453471000073478
1,outono,moment,incongruent,93,RYCXYJME,PorEng,z,True,0.7087575999903493,207879.0897351,0.500197899993509,0.09938290002173744,0.05020599998533726,0.051417100010439754,0.938364100002218
2,verão,summer,congruent,47,SIWHZWBR,PorEng,z,True,1.0194933000020683,207881.2847355,0.499382300011348,0.10062089998973534,0.04970329999923706,0.05190680001396686,1.2291028999898117
3,atrasado,summer,incongruent,98,OGUBGARH,PorEng,z,True,0.5801140999828931,207882.9942765,0.500288500013994,0.09962259998428635,0.05037150002317503,0.05012429997441359,0.8020009000028949
4,semana,dry,incongruent,89,MIZLCOIZ,PorEng,z,True,0.7188707999885082,207884.8676572,0.49969419999979436,0.10041810001712292,0.04995689998031594,0.050926500000059605,0.9398868000134826
5,creme,horse,incongruent,54,KUOXHWZB,PorEng,m,True,0.6293736999796238,207886.662976,0.49923640000633895,0.10061850000056438,0.049770799989346415,0.05193029998918064,0.8386278999969363
6,capalo,horse,control,103,MBWZWZGO,PorEng,m,True,0.5780955000082031,207888.3778698,0.500229400000535,0.09988190000876784,0.05017149998457171,0.05096980000962503,0.7760974999982864
7,caixa,arm,incongruent,67,KUEFCOLF,PorEng,m,True,0.5413778999936767,207890.0577266,0.5001844000071287,0.0996162999945227,0.05013749998761341,0.050885200005723163,0.7493487999890931
8,cebar,blind,control,125,BMVTRHOV,PorEng,z,True,0.7025925999914762,207891.9039482,0.49998920000507496,0.09969730000011623,0.04995549999875948,0.05209899999317713,0.9124819000135176
9,dantar,sing,control,146,FFRIRBHF,PorEng,z,True,0.5753878999967128,207893.6597103,0.5539091000100598,0.09571249998407438,0.049879099999088794,0.05136420001508668,0.7826861999928951
10,lugo,lake,control,109,XQPTUXDK,PorEng,m,True,0.5940560000017285,207895.3963273,0.4998314999975264,0.1002075000142213,0.04986239998834208,0.052028900012373924,0.8133453000045847
11,butão,button,congruent,1,VWDWGPIW,PorEng,m,True,0.6872851000225637,207897.2340518,0.4995006000099238,0.10001980001106858,0.04997259998344816,0.06251960000372492,0.8989032999961637
12,petigo,danger,control,145,FWRXLUHP,PorEng,z,True,0.5789287999796215,207898.9489464,0.5000020999868866,0.09997099998872727,0.049296800018055364,0.052719100000103936,0.7758890999830328
13,cereja,button,incongruent,52,KJTBSPWC,PorEng,m,True,0.767987200000789,207900.8707762,0.49970139999641106,0.10046909999800846,0.04966230000718497,0.05133289998047985,0.9798163000086788
14,choter,rain,control,149,KVQNNWLQ,PorEng,z,True,0.6349762000027113,207902.6376775,0.49969600001350045,0.10007849999237806,0.050202200014609843,0.0508430999761913,0.8856605000037234
15,bitão,button,control,101,ISJNIBGH,PorEng,m,True,0.771290400007274,207904.5926886,0.49950070001068525,0.10006709999288432,0.05025860000750981,0.05177029999322258,0.9841253999911714
16,momento,moment,congruent,42,RDXDPHYY,PorEng,z,True,0.6329297999909613,207906.3546589,0.4989165999868419,0.1005406999902334,0.04960850000497885,0.052360500005306676,0.8641959000087809
17,perigo,danger,congruent,45,WOKNJZGH,PorEng,z,True,0.679728300019633,207908.2019454,0.4996540999854915,0.09991860002628528,0.05061459998250939,0.05167650000657886,0.88049039998441
18,braço,arm,congruent,16,WDRXZJTF,PorEng,m,True,0.6741654000070412,207910.0127083,0.49946779999299906,0.10019100000499748,0.049843399989185855,0.051585800014436245,0.8734261999779847
19,denti,tooth,control,119,WGVULTEY,PorEng,m,True,0.7413570999924559,207911.8807289,0.5001471000141464,0.09970900000189431,0.049844099994516,0.05184849997749552,0.9754290000128094
20,alegria,climb,incongruent,80,THLZAFVE,PorEng,z,True,0.7840160000196192,207913.8419204,0.4996240000182297,0.09997889999067411,0.05061500001465902,0.05238909999025054,1.002879200008465
21,feio,joy,incongruent,81,GSRXNTCP,PorEng,z,True,0.6159606000001077,207915.6067122,0.49912100000074133,0.10030479999841191,0.050311400002101436,0.051734000007854775,0.8480410999909509
22,crene,cream,control,104,NRURLGMJ,PorEng,m,True,0.6438928999996278,207917.4187607,0.5096570000168867,0.09020780000719242,0.04980979999527335,0.05227809998905286,0.8504934000084177
23,escalar,climb,congruent,29,DTSREBSC,PorEng,z,True,0.721781700005522,207919.2806396,0.4998417999886442,0.10000110001419671,0.049795800005085766,0.05250029999297112,0.9492608000000473
24,dúvida,blind,incongruent,76,ELCSBUGC,PorEng,z,True,0.8038576999970246,207921.4288641,0.49978939999709837,0.100187999982154,0.05015510000521317,0.05117409999365918,1.0254183000070043
25,sonho,deep,incongruent,87,KUGXZIDZ,PorEng,z,True,0.7138909000204876,207923.319962,0.5040300999826286,0.09991069999523461,0.049982700002146885,0.05630359999486245,0.937252300005639
26,armário,wardrobe,congruent,22,WRETXKXZ,PorEng,m,True,0.6345720999815967,207925.1446298,0.5002363999956287,0.09922020000522025,0.050686499977018684,0.05203230000915937,0.8593968999921344
27,leão,lion,congruent,23,ICZOYXFC,PorEng,m,True,0.5014767999819014,207926.8116044,0.49980689998483285,0.1001137999992352,0.04973640001844615,0.05206990000442602,0.7203455999842845
28,melhor,law,incongruent,83,KUUXWJOQ,PorEng,z,True,0.6609858000010718,207928.6545328,0.4996888999885414,0.10009490000084043,0.049909900000784546,0.05161150000640191,0.8920743000053335
29,suave,soft,congruent,27,TKJBMKIL,PorEng,m,False,0.6828387000132352,207930.5097237,0.4997672000026796,0.0999553999863565,0.049889400019310415,0.05154509999556467,0.912707399984356
30,sapato,shoe,congruent,6,GIKTGTIH,PorEng,m,True,0.6531989999930374,207932.3316746,0.5000900000159163,0.0993896999862045,0.050227200001245365,0.05232770001748577,0.8632480999804102
31,atrasado,late,congruent,48,SUSQFBTT,PorEng,m,False,1.1066946999926586,207934.5846938,0.4997113000135869,0.09972849997575395,0.05083340001874603,0.051169299986213446,1.269840299995849
32,ponte,straw,incongruent,62,WHWVLRAC,PorEng,m,True,0.7405624999955762,207936.4196732,0.4995237000111956,0.09984730000724085,0.05033490000641905,0.052094099984969944,0.9455214999907184
33,outono,autumn,congruent,43,FFUKIVNW,PorEng,z,True,0.691413000022294,207938.2546301,0.5006547000084538,0.10000959999160841,0.04985889999079518,0.052301399991847575,0.8929897000198252
34,canudo,wolf,incongruent,61,EVOUQYXS,PorEng,m,True,0.7843951999966521,207940.2977895,0.4995520999946166,0.10059399998863228,0.05012580001493916,0.05170819998602383,1.000864100002218
35,receja,cherry,control,102,HVPQOVWO,PorEng,m,True,0.6350755000021309,207942.0976448,0.49964289998752065,0.09982440000749193,0.04922680000890978,0.05208259998471476,0.8628682999988087
36,oscada,ladder,control,105,LDMHIKUB,PorEng,z,False,0.7492250000068452,207944.0296689,0.5005188999930397,0.1002089999965392,0.049428500002250075,0.052392000012332574,0.9979480999754742
37,braço,fire,incongruent,66,LYGPSMEG,PorEng,m,True,0.7612275999854319,207945.9756281,0.49960199999623,0.10000310000032187,0.051059800025541335,0.05128009998588823,0.9782142000040039
38,tarde,evening,congruent,40,OFPSSCNM,PorEng,z,True,0.7907410000043456,207947.9226813,0.49972570000682026,0.10011309999390505,0.04988810000941157,0.05242059999727644,1.0494457999884617
39,peixe,fish,congruent,13,DEEGKASD,PorEng,m,True,0.5719978999986779,207949.6876016,0.4998587000009138,0.09979199999361299,0.05019790001097135,0.05164250000962056,0.7742614999879152
40,chover,rain,congruent,49,PSFYOXSM,PorEng,m,False,0.7614902000059374,207951.5935018,0.4999756000179332,0.09962409999570809,0.04987940000137314,0.05146099999547005,0.9134071999869775
41,gato,cat,congruent,24,XJSWXPSL,PorEng,m,True,0.6120982999855187,207953.2784545,0.5000003000022843,0.09986149999895133,0.050055200001224875,0.05192419997183606,0.813863700022921
42,lago,throat,incongruent,59,LWKHRTQP,PorEng,m,True,0.8577165000024252,207955.257636,0.49989419998019,0.10010790001251735,0.05018190000555478,0.05136899999342859,1.081383500015363
43,morango,shoe,incongruent,57,WNLAQUTN,PorEng,m,True,0.7574866999930236,207957.1829245,0.4998819999746047,0.09971030001179315,0.051134100009221584,0.05920240000705235,0.9624711999786086
44,tonho,dream,control,137,OLHNFKLD,PorEng,z,True,0.6766325000207871,207959.0113798,0.5001032000000123,0.09975480000139214,0.05011670000385493,0.051848200004315004,0.901111299986951
45,deão,lion,control,123,YTMSKOUM,PorEng,m,True,0.7334521999873687,207960.9355886,0.49981760000810027,0.10030479999841191,0.05016300000716001,0.05180469999322668,0.9626784000138287
46,coelho,rabbit,congruent,21,DFTLEXQJ,PorEng,m,True,0.6119253000069875,207962.6979309,0.49979370000073686,0.10035999998217449,0.0501615000248421,0.052147199981845915,0.8167088000045624
47,darganta,throat,control,108,EWGLOYVQ,PorEng,m,True,0.63408889999846,207964.4705895,0.49950050000916235,0.10031340000568889,0.05035529998713173,0.05202930001541972,0.8498355000047013
48,tarde,week,incongruent,90,OTNGDZAQ,PorEng,z,True,0.6342832999944221,207966.2536881,0.4996294000011403,0.10015919999568723,0.05042039998807013,0.05155580001883209,0.8863264999818057
49,prato,plate,congruent,20,WBDPMUSA,PorEng,m,True,0.7324767999816686,207968.1696643,0.49991130002308637,0.09963369998149574,0.05043400000431575,0.052453800017246976,0.9336250999767799
50,daca,cow,control,100,AQTGGHCW,PorEng,m,True,0.6653106999874581,207969.9687332,0.5004201000265311,0.10006159998010844,0.04980310000246391,0.05135700001846999,0.8804214999836404
51,verão,sing,incongruent,97,IKJWVYEX,PorEng,z,True,0.6443065000057686,207971.7647537,0.49991629997384734,0.09995460000936873,0.05034780001733452,0.05122239998308942,0.8627332000178285
52,suabe,soft,control,127,PEJEGOEL,PorEng,z,True,0.7382746000075713,207973.6425791,0.5000762999989092,0.10024500000872649,0.04924739999114536,0.05175790001521818,0.9321760999737307
53,terão,summer,control,147,CFKXFZQY,PorEng,z,True,0.6016098999825772,207975.3736608,0.5001033000007737,0.10014580001006834,0.04989879997447133,0.05216610000934452,0.792625300004147
54,fogo,fire,congruent,15,ZDFWWLCZ,PorEng,m,True,0.5876287000137381,207977.0765827,0.5001906999968924,0.10079039999982342,0.04924280001432635,0.05194959999062121,0.8073069999809377
55,tosse,cough,congruent,44,HSCQVCBL,PorEng,z,True,0.7066049999848474,207978.9296323,0.5001974999904633,0.10029780000331812,0.04980889998842031,0.051779900008114055,0.9238961999944877
56,metade,better,incongruent,84,XFLPRYJZ,PorEng,m,False,0.9279208999942057,207981.0182433,0.49990280001657084,0.10006150000845082,0.04953689998365007,0.05233209999278188,1.1336844000034034
57,morango,strawberry,congruent,7,BAECDNPB,PorEng,m,True,0.6217766999907326,207982.7977311,0.4999866000143811,0.10000389997730963,0.05030520001309924,0.05348599998978898,0.839527400006773
58,garganta,strawberry,incongruent,58,ITGLCOBF,PorEng,m,True,0.6478950000018813,207984.5881738,0.5000457999994978,0.10007530002621934,0.04993009997997433,0.051095500006340444,0.8807216999994125
59,escada,cream,incongruent,55,VXSZMFCM,PorEng,m,True,0.7344485000066925,207986.4926277,0.5000916999997571,0.09969680002541281,0.050265499972738326,0.05202510001254268,0.9787774000142235
60,lei,ugly,incongruent,82,QHAEMOPW,PorEng,z,True,0.8024657999922056,207988.4605688,0.5000950999965426,0.100110900006257,0.04971809999551624,0.051737000001594424,1.0156006000179332
61,peco,dry,control,138,JYLEIGEA,PorEng,z,True,0.5938672999909613,207990.1846185,0.4990919000119902,0.10008159998687916,0.05027390000759624,0.05056530001456849,0.8267853999859653
62,pei,law,control,132,BLCYOLPQ,PorEng,z,True,0.6782209000084549,207992.0221541,0.4994111999985762,0.10052520001772791,0.04969099999289028,0.053409699990879744,0.8936570000078063
63,cavalo,horse,congruent,3,VMVUNWUT,PorEng,m,True,0.6711819999909494,207993.8315797,0.4999320000060834,0.10039349997532554,0.04993269999977201,0.05237180000403896,0.8844929000188131
