,prime,target,group,pair_index,mask,l1_l2,key_name,correct,response_time,key_tDown,fixation_dur,bm_dur,prime_dur,fm_dur,target_dur
0,law,lei,congruent,32,URSXIDBB,EngPor,m,True,0.9279661999898963,195054.6465804,0.5008741999918129,0.11576789998798631,0.050214000017149374,0.050384100002702326,1.0697691999957897
1,lion,leão,congruent,23,YNDROPNH,EngPor,z,True,0.70552509999834,195057.3015915,0.5011176999832969,0.09942480002064258,0.05035779997706413,0.08647780001047067,0.8169342000037432
2,liom,leão,control,123,RYKKWNMC,EngPor,z,True,0.5340636000037193,195059.1265051,0.49943319999147207,0.10031220002565533,0.05292249997728504,0.046194399998057634,0.6549407000129577
3,dream,sonho,congruent,37,TOUIMPZJ,EngPor,m,True,0.6113482000073418,195061.3239224,0.4973222000116948,0.1026537999860011,0.04684500000439584,0.052812600013567135,0.6670980999770109
4,monent,momento,control,142,JFYXADEI,EngPor,m,True,0.6581949999963399,195063.690049,0.5014120000123512,0.10045440000249073,0.049841799977002665,0.05426580001949333,0.7973917000053916
5,climb,escalar,congruent,29,GZGDYULD,EngPor,m,True,0.6524045999976806,195065.596591,0.5001245999883395,0.09872220002580434,0.050440699997125193,0.05177910000202246,0.7690663999819662
6,cherry,cereja,congruent,2,GXTFFVHZ,EngPor,z,True,0.5608140999975149,195067.4241857,0.5004715999821201,0.09972640001797117,0.04998979999800213,0.05309439997654408,0.6852476000203751
7,shoe,sapato,congruent,6,EECMWKHD,EngPor,z,True,0.5701464000158012,195069.1845855,0.4999877999944147,0.09700780001003295,0.05272139998851344,0.054175700002815574,0.683311800006777
8,summer,verão,congruent,47,IXRQCBEG,EngPor,z,False,0.693532100005541,195071.0912974,0.4997929000237491,0.10003219998907298,0.04999689999385737,0.05335510001168586,0.7826022999943234
9,ladder,sapato,incongruent,56,CKHPDKOP,EngPor,z,True,0.6371144000149798,195072.9015229,0.5001221999991685,0.09910410002339631,0.05067279998911545,0.05274350001127459,0.7336032000021078
10,climb,alegria,incongruent,80,UNJXOHKR,EngPor,z,False,0.6389681000146084,195074.7206052,0.5012944999907631,0.09824120000121184,0.05052400002023205,0.05270839997683652,0.7712596000055782
11,tooth,dente,congruent,19,JBRRHJAZ,EngPor,z,True,0.7810097000037786,195076.7583779,0.5000329000176862,0.09941819999949075,0.049855299992486835,0.04819500001030974,0.9393031999934465
12,lion,gato,incongruent,74,RCXXQFBA,EngPor,z,True,0.6765710999898147,195079.3587741,0.6821215999952983,0.10109000001102686,0.048847800004296005,0.05262899998342618,0.8191918000229634
13,danger,cantar,incongruent,96,DRMNILOD,EngPor,m,True,0.6415993999980856,195081.2986396,0.4982286999875214,0.10026460001245141,0.05029709998052567,0.0920942000229843,0.7787835999915842
14,fish,peixe,congruent,13,WBBWLJPT,EngPor,z,True,0.6294024999951944,195083.1790297,0.4998306999914348,0.09948980002081953,0.049452299979748204,0.05281760002253577,0.785365699994145
15,autumn,tosse,incongruent,94,EZTLLUZI,EngPor,m,True,0.5814853000047151,195085.0132095,0.5007281000143848,0.10237280000001192,0.04893029999220744,0.06528609999804758,0.6858172999927774
16,ceek,semana,control,139,WQNILGWC,EngPor,m,True,0.6040411999856587,195086.9715361,0.4991886999923736,0.0992815000063274,0.04987419999088161,0.05274410001584329,0.7804318999988027
17,moment,outono,incongruent,93,IWTZSPCF,EngPor,m,True,0.6176388000021689,195088.9354707,0.49872030000551604,0.10010340000735596,0.05017339999903925,0.05229189997771755,0.734204000007594
18,dow,vaca,control,100,IQDVDUBS,EngPor,z,True,0.639578900008928,195090.7907099,0.5161403999954928,0.10034079998149537,0.049772200000006706,0.05206919999909587,0.7679937000211794
19,ugly,feio,congruent,31,KBRUFJAG,EngPor,m,True,0.5448647000011988,195092.5135368,0.4996891000191681,0.10049270000308752,0.04986939998343587,0.05205600001499988,0.7007631000014953
20,sadness,tristeza,congruent,35,IZLACYZW,EngPor,m,True,0.6006937999918591,195094.3705043,0.4995564999990165,0.1000419000047259,0.050566199992317706,0.069127099995967,0.7001414000114892
21,straw,ponte,incongruent,62,XKIYYAVS,EngPor,z,True,0.5869700000039302,195096.1914586,0.5009911000088323,0.09924589999718592,0.04949999999371357,0.07089180001639761,0.7331531999807339
22,blind,cegar,congruent,25,GNBQDTYY,EngPor,m,True,0.6811630000011064,195098.085563,0.49824839999200776,0.10025540000060573,0.049830200005089864,0.05323059999500401,0.7781990000221413
