,prime,target,group,pair_index,mask,l1_l2,key_name,correct,response_time,key_tDown,fixation_dur,bm_dur,prime_dur,fm_dur,target_dur
0,denti,tooth,control,119,CGDEHUZI,PorEng,m,True,1.950669600002584,62187.0625787,1.1648225000026287,0.1170678999988013,0.05049909999797819,0.05560970000078669,2.075940900002024
1,peco,dry,control,138,EKZAIOTV,PorEng,z,True,0.7204646999962279,62188.9927368,0.7060052000015276,0.1000378999960958,0.050038699999277014,0.04989700000442099,0.8836231999957818
2,tonho,dream,control,137,KFECOZOW,PorEng,z,True,0.7963556999966386,62191.0586396,0.6952813999960199,0.10043169999698875,0.05769620000501163,0.0495295000000624,0.9434292000005371
3,sapato,shoe,congruent,6,PSCDRFIB,PorEng,m,True,0.6867910000000848,62192.9424129,0.6846652000022004,0.10037430000375025,0.05004559999360936,0.04927670000324724,0.8009585999971023
4,dente,tooth,congruent,19,XXBZTJBG,PorEng,m,True,0.6433254000003217,62194.7325421,0.6900218000009772,0.10012269999424461,0.050236200004292186,0.04959709999820916,0.7667041000022436
5,armário,wardrobe,congruent,22,GIUYNUCI,PorEng,m,True,0.8478476000018418,62196.7904074,0.6992066000020714,0.09925269999803277,0.05015119999734452,0.05046030000085011,0.9663346000015736
6,escada,cream,incongruent,55,VDWJLBTQ,PorEng,m,True,0.7391598000031081,62198.6968243,0.6984474000055343,0.10011329999542795,0.049910599998838734,0.04962810000142781,0.8673191999987466
7,dúcida,doubt,control,126,IBYATALL,PorEng,z,True,0.8665313000019523,62200.7775528,0.6903141000002506,0.10034379999706289,0.04994309999892721,0.05029540000396082,1.000015399993572
8,tristeza,sadness,congruent,35,XCBNJLVY,PorEng,z,True,0.8325649999969755,62202.7763747,0.6912670999954571,0.10003470000083325,0.05053059999772813,0.05011610000656219,1.017188099998748
9,tosse,cough,congruent,44,YEDIDNVM,PorEng,z,True,0.9914614000008442,62205.0024682,0.6980451000054018,0.0995587999932468,0.049848300004669,0.0510604000010062,1.166205000001355
10,prafundo,deep,control,136,QQVLHRIO,PorEng,z,True,0.6353106000024127,62206.8797155,0.6965982999972766,0.10015770000609336,0.04996899999969173,0.050051399994117673,0.7837381000063033
11,receja,cherry,control,102,BYOPLDSZ,PorEng,m,True,1.1095789999963017,62209.2025907,0.7043219000042882,0.09968599999410799,0.050023200004943646,0.05001039999478962,1.2497864000033587
12,caixa,arm,incongruent,67,VKFEVJUV,PorEng,m,True,0.7487652999989223,62211.1265792,0.6852558000027784,0.10035129999596393,0.0503138999993098,0.04981910000060452,0.8836923999988358
13,peixe,fish,congruent,13,EHZRAZRW,PorEng,m,True,0.6162707999974373,62212.9295572,0.6918846999978996,0.10063159999845084,0.049869100002979394,0.050430000002961606,0.7667446999985259
14,alegria,climb,incongruent,80,QUBCALMY,PorEng,z,True,1.0782689999978174,62215.2096513,0.6906090999982553,0.1000662000005832,0.04970199999661418,0.050287999998545274,1.232736300000397
15,cebar,blind,control,125,ATDUFELC,PorEng,z,True,0.8804294000001391,62217.313401,0.6968533000035677,0.10023129999899538,0.04999339999631047,0.04959899999812478,1.0665488000013283
16,semata,week,control,139,WJKETYFB,PorEng,z,True,0.6928610000031767,62219.2225754,0.6983161000025575,0.10017550000338815,0.0495362000001478,0.049544699999387376,0.8507272999995621
17,lago,lake,congruent,9,KPBUHIOH,PorEng,m,True,0.7847255999949994,62221.2316733,0.6974136999997427,0.1003359999958775,0.04995210000197403,0.05005199999868637,0.9171400000050198
18,peixe,bridge,incongruent,63,KBDQFJPS,PorEng,m,True,0.767324100001133,62223.2174848,0.6996355000010226,0.09954840000136755,0.05010500000207685,0.05006439999851864,0.8996948999993037
19,cereja,button,incongruent,52,MPUMVWUO,PorEng,m,True,0.764856099995086,62225.164453,0.6852123999997275,0.09961540000222158,0.050220199998875614,0.04983979999815347,0.9337919000026886
20,dantar,sing,control,146,TMDJACGJ,PorEng,z,True,0.8950685000017984,62227.2925549,0.6971324999976787,0.10003590000269469,0.051048099994659424,0.049012200004654005,1.083398799994029
21,canudo,straw,congruent,11,ITJMFTWV,PorEng,m,True,0.8196140000000014,62229.3536287,0.6978696000005584,0.10034759999689413,0.050086300005204976,0.0500395999988541,0.9677332999999635
22,deio,ugly,control,131,BTYMYLVY,PorEng,z,True,0.9593418000004021,62231.4775537,0.6903231999967829,0.10030399999959627,0.049542799999471754,0.050171000002592336,1.1332002999988617
23,sonho,deep,incongruent,87,OITCKBKB,PorEng,z,True,0.6556672000006074,62233.3374212,0.6979189999983646,0.09902670000155922,0.04994219999935012,0.050007099998765625,0.801056600001175
24,butão,button,congruent,1,VPXCFJQR,PorEng,m,True,0.8753571999986889,62235.4593743,0.6875285999994958,0.09993850000319071,0.049295799995888956,0.05039080000278773,1.0166344999961439
25,creme,cream,congruent,4,ZQLNLDJZ,PorEng,m,True,0.7218902999957209,62237.3564812,0.6987249000012525,0.09956139999849256,0.05053590000170516,0.04979869999806397,0.8829210999974748
26,gato,lion,incongruent,74,PFUWZNBB,PorEng,m,True,0.6509404000025825,62239.1864903,0.6939458999986527,0.09992990000318969,0.05005959999834886,0.05104109999956563,0.7831249000009848
27,petigo,danger,control,145,BWCFHDES,PorEng,z,True,0.8602275000012014,62241.2301923,0.6855050000012852,0.10028600000077859,0.04918189999443712,0.050236900002346374,1.016867899998033
28,perigo,danger,congruent,45,KITRZATF,PorEng,z,True,0.6176823000059812,62243.0365116,0.6922447000033571,0.10001809999812394,0.04967649999889545,0.04975820000254316,0.7836535999958869
29,tristeza,half,incongruent,85,MJGJNAHL,PorEng,z,True,1.2125387999985833,62245.482953,0.6972705000007409,0.09886530000221683,0.05006399999547284,0.0503346000041347,1.4008583999966504
30,ponde,bridge,control,112,VMBVEJTO,PorEng,m,True,0.6283171000031871,62247.3346066,0.6988873000009335,0.10002909999457188,0.04996160000155214,0.05004170000029262,0.7665305000045919
31,daixa,box,control,117,XORKSYFP,PorEng,m,True,0.5746007999987341,62249.0614831,0.6918627999984892,0.1002477000001818,0.05019049999827985,0.04944029999751365,0.7173537999988184
32,bicicleta,bike,congruent,14,JBCMFLYZ,PorEng,m,True,0.6627729000028921,62250.9180876,0.693029200003366,0.10131130000081612,0.04998699999850942,0.04969680000067456,0.783880599999975
33,profundo,deep,congruent,36,FPKMXLXH,PorEng,z,True,0.6452815000011469,62252.7675111,0.6977890999987721,0.1000244000024395,0.04986530000314815,0.049622099999396596,0.8007559999969089
34,prato,plate,congruent,20,VDJYFQOS,PorEng,m,True,0.6497177000055672,62254.6367057,0.6925144999986514,0.0991204000019934,0.05038269999931799,0.049542799999471754,0.7514878000001772
35,apegria,joy,control,130,KUXNBZXM,PorEng,z,True,0.749972899997374,62256.5903748,0.6969668999954592,0.09984770000301069,0.050338300003204495,0.05019999999785796,0.8824127999978373
36,butão,cow,incongruent,51,EJBPUOCG,PorEng,m,True,0.714699300006032,62258.4884785,0.6915305000002263,0.09976589999860153,0.05051820000517182,0.05000369999470422,0.8665763000026345
37,suave,soft,congruent,27,ZORTTDNF,PorEng,z,True,0.7974529999992228,62260.5203462,0.6996982999989996,0.09826030000112951,0.05010219999530818,0.05027169999812031,1.0007836000004318
38,atrasado,late,congruent,48,CSJRUYSL,PorEng,m,False,0.7167327999995905,62262.4925162,0.6989423999984865,0.10002250000252388,0.04996699999901466,0.050260999996680766,0.8493161000005784
39,coelho,plate,incongruent,71,MZMFUBNL,PorEng,m,True,0.6829171999997925,62264.3755697,0.6850021999998717,0.10004359999584267,0.05012720000377158,0.04991850000078557,0.8167708999972092
40,metade,better,incongruent,84,QWDHGDPM,PorEng,m,False,0.6882784999979776,62266.2634527,0.686209699997562,0.10028649999730987,0.05032520000531804,0.05002519999834476,0.7992698000016389
41,sonho,dream,congruent,37,POZTHHBO,PorEng,z,True,0.7582977999991272,62268.1845399,0.6943002000043634,0.09970829999656416,0.05023559999972349,0.0511012999995728,0.8990674000015133
42,morango,strawberry,congruent,7,UZATTALR,PorEng,m,True,0.7332040999972378,62270.584486,1.1605847999962862,0.10105390000535408,0.049534999998286366,0.05042929999763146,0.850051400004304
43,gato,cat,congruent,24,CJZULRMX,PorEng,m,True,1.1476687000031234,62273.3387749,1.1608249000055366,0.10026989999460056,0.04974390000279527,0.04950269999972079,1.284135800000513
44,toelho,rabbit,control,121,CUEWPBBI,PorEng,m,True,0.69759139999951,62275.2104649,0.6870158000019728,0.10000569999829168,0.049733699997887015,0.05038560000684811,0.8333380999974906
45,feio,ugly,congruent,31,TODBDGYU,PorEng,z,True,0.7474317999949562,62277.1594048,0.685444999995525,0.10001950000150828,0.05046269999729702,0.050105600006645545,0.9163334999975632
46,escalar,hunger,incongruent,79,JRUBVFDX,PorEng,z,True,0.7454596000025049,62279.1185132,0.6917826999997487,0.1001486000022851,0.0497038999965298,0.05078060000232654,0.9155830000017886
47,corango,strawberry,control,107,GFAHTPWS,PorEng,m,True,0.7184725999977672,62281.0313568,0.6909663999977056,0.10100260000035632,0.04961399999592686,0.050263200006156694,0.8657322999933967
48,escalar,climb,congruent,29,PCUWPPUC,PorEng,z,True,0.9829217000005883,62283.2314739,0.6874239999960992,0.10061159999895608,0.049936800001887605,0.050728100002743304,1.1493955999976606
49,lobo,wolf,congruent,10,OTLQXXCL,PorEng,m,True,2.0977211999997962,62286.5431461,0.697826100004022,0.0995044000010239,0.04967469999974128,0.05009019999852171,2.234857800001919
50,fundo,bottom,congruent,41,FWLCYJPT,PorEng,m,False,1.03003219999664,62288.7623194,0.6829043999969144,0.1004534000021522,0.05002969999623019,0.05071690000477247,1.1499887999962084
51,togo,fire,control,115,NDHSGKHH,PorEng,m,True,1.110266199997568,62291.0244599,0.6917652000047383,0.10030469999765046,0.06414580000273418,0.05245189999550348,1.2328517000059946
52,dúvida,blind,incongruent,76,ZMTCLPYO,PorEng,z,True,0.6815322999973432,62292.8462678,0.691305000000284,0.09987769999861484,0.0511941000004299,0.048714600001403596,0.8844428999946103
53,prato,tooth,incongruent,70,XNSVLYOZ,PorEng,m,True,0.7380602999983239,62294.8015236,0.6857821000012336,0.09984210000402527,0.050168900001153816,0.049726299999747425,0.867925299993658
54,safato,shoe,control,106,ZFKXUDTL,PorEng,m,True,0.7754849000048125,62296.9263261,0.8634333000009065,0.10050469999987399,0.04970139999932144,0.05034280000108993,0.9001981000037631
55,alegria,joy,congruent,30,AERPORGI,PorEng,z,True,0.7155987999940407,62298.8136529,0.6877545999959693,0.0989491000000271,0.04999150000367081,0.050089299998944625,0.8674508999974933
