,prime,target,group,pair_index,mask,l1_l2,key_name,correct,response_time,key_tDown,fixation_dur,bm_dur,prime_dur,fm_dur,target_dur
0,strawberry,garganta,incongruent,58,OQVWESUD,EngPor,z,True,1.2359800999984145,151975.1896997,0.49989819998154417,0.1000386000087019,0.04995479999342933,0.05005650001112372,1.4903523999964818
1,dow,vaca,control,100,BQCNLDMX,EngPor,z,True,0.9721831000060774,151977.3546632,0.49992470000870526,0.10001019999617711,0.05001730000367388,0.05003330000909045,1.1947721999895293
2,cough,perigo,incongruent,95,VEGDZXGE,EngPor,m,True,0.8005770999880042,151979.3007314,0.5001612000050955,0.0998461999988649,0.0500369000073988,0.050042099988786504,1.0112932000192814
3,climp,escalar,control,129,HPAQUBPA,EngPor,m,True,0.8950811000249814,151981.3297663,0.499830299988389,0.1001012000197079,0.050022599985823035,0.04990470001939684,1.1070873999851756
4,blind,dúvida,incongruent,76,QEXTHHEW,EngPor,m,True,1.103876199980732,151983.5557148,0.49981280000065453,0.09999960000277497,0.05000949997338466,0.05004970001755282,1.3189263999811374
5,dough,tosse,control,144,QEUDQGVB,EngPor,z,False,0.8057304000249133,151985.4737551,0.49990900000557303,0.10001179997925647,0.05001560001983307,0.05002759999479167,1.0476306999917142
6,sing,cantar,congruent,46,CKGEMQSV,EngPor,m,True,1.2959337000211235,151987.9147173,0.49994840001454577,0.10000479998416267,0.05004750000080094,0.04996720000053756,1.5264879000023939
7,autumn,outono,congruent,43,QXJNLETU,EngPor,m,True,0.8697399999946356,151989.9227569,0.5000116000010166,0.10009620001073927,0.04998680000426248,0.04993280000053346,1.1084467000036966
8,kadness,tristeza,control,135,UDZUMWDL,EngPor,m,True,1.8126591000182088,151992.8826679,0.4998419999901671,0.09999760001664981,0.04998640000121668,0.05010439999750815,2.039403200004017
9,shoa,sapato,control,106,YIRPUDFC,EngPor,z,True,0.7910947000200395,151994.811718,0.499878099974012,0.10002610000083223,0.05001170001924038,0.050022599985823035,1.0444918000139296
10,ladder,sapato,incongruent,56,OQSQJMUO,EngPor,z,True,0.5561076999874786,151996.5267348,0.4997251999739092,0.10009530000388622,0.04998530002194457,0.05003399998531677,0.8044409000140149
11,pake,lago,control,109,JULFXAVR,EngPor,z,True,1.2883888999931514,151998.9767354,0.5000211000151467,0.09989849998964928,0.050050999998347834,0.04998740000883117,1.5188767999934498
12,summer,verão,congruent,47,GSMRMQNP,EngPor,m,True,0.7613697000197135,152000.8837275,0.4997807999898214,0.1000832999998238,0.04997849999926984,0.0500090999994427,0.9992335000133608
13,poubt,dúvida,control,126,UTBFMAQA,EngPor,m,True,0.6825985999894328,152002.7226944,0.4999697000021115,0.09998410000116564,0.050006300007225946,0.05001110001467168,0.9114172999979928
14,half,tristeza,incongruent,85,XPTPXXKF,EngPor,z,False,0.7368280999944545,152004.5936934,0.5000067999935709,0.10034159998758696,0.049578200007090345,0.05006340000545606,0.9872033999999985
15,cow,butão,incongruent,51,GDXOWWXI,EngPor,z,True,1.2874872999964282,152007.0276966,0.4999104000162333,0.10010380001040176,0.04994889997760765,0.04999990001670085,1.5704272000002675
16,bridge,ponte,congruent,12,FNETFZOX,EngPor,z,True,0.9995497999771032,152009.2236717,0.4998458999907598,0.10003640002105385,0.0500428999948781,0.049962099990807474,1.2229736000008415
17,deep,profundo,congruent,36,ZUTBYIEA,EngPor,m,True,0.6841013999946881,152011.0437943,0.4999178000143729,0.1000542999827303,0.04995069999131374,0.0504619000130333,0.9392853000026662
18,sammer,verão,control,147,LNFRXXSJ,EngPor,m,True,0.6863465000060387,152012.8947379,0.5001161000109278,0.09977659999276511,0.04998899999191053,0.05003119999310002,0.8975445000105537
19,box,caixa,congruent,17,AXMWHTHM,EngPor,z,True,1.5305311000265647,152015.5398594,0.49975270000868477,0.10008709999965504,0.05000659998040646,0.05028030002722517,1.791405099997064
20,better,melhor,congruent,33,DOFJVRYG,EngPor,m,True,0.7775927000038791,152017.4876492,0.49960949999513105,0.10010849998798221,0.04994810000061989,0.05015960001037456,1.0102595000062138
21,fire,braço,incongruent,66,IXBHPWIP,EngPor,z,True,0.7755404000054114,152019.4196522,0.49967990000732243,0.10011810000287369,0.05000670001027174,0.050250599975697696,1.0090254000097048
22,danger,cantar,incongruent,96,GDCXZGQB,EngPor,m,True,0.7130152999889106,152021.2738456,0.4998739000002388,0.09999440002138726,0.050239099975442514,0.04987060002167709,0.9711672999837901
23,late,atrasado,congruent,48,AJJYXISM,EngPor,m,True,1.3445068000000902,152023.7886941,0.5003953000123147,0.09994019998703152,0.04963339999085292,0.05002690001856536,1.5748388999782037
24,horse,creme,incongruent,54,RVHVUWOQ,EngPor,z,True,0.8587717000045814,152025.8046951,0.4995299000001978,0.09999309998238459,0.05040700000245124,0.0502386000007391,1.1238181000226177
25,doubt,suave,incongruent,77,UIJYDKJR,EngPor,m,True,1.307116700016195,152028.2866857,0.49958969998988323,0.10064190000412054,0.04967239999677986,0.04999840000527911,1.5240772000106517
26,bix,caixa,control,117,NYPCLRHE,EngPor,z,True,0.6868009000027087,152030.0997,0.4998122999968473,0.10009550000540912,0.05007409999961965,0.050006200006464496,0.9719443999929354
27,tooth,dente,congruent,19,VABQZKOD,EngPor,z,True,1.6468614999903366,152032.9439773,0.5002878999803215,0.09970220000832342,0.05053040001075715,0.049545499990927055,1.9482035000110045
28,week,semana,congruent,39,VKOLUWPQ,EngPor,m,True,0.7115038000047207,152034.8586517,0.4995478000200819,0.1000509999867063,0.050018100009765476,0.04994830000214279,0.9476783999998588
29,bike,fogo,incongruent,65,YPTAZFTG,EngPor,z,True,0.6902776000206359,152036.6876623,0.5002372000017203,0.09971540002152324,0.05002309998963028,0.04995419998886064,0.9219833000097424
30,outumn,outono,control,143,CUDZZAVF,EngPor,m,True,0.6480803999875207,152038.4627867,0.4999468000023626,0.10002720000920817,0.05021640000632033,0.04981709999265149,0.8813811999862082
31,throat,garganta,congruent,8,WLHWVEAX,EngPor,z,True,0.7052208000095561,152040.3037176,0.49989219999406487,0.09990140001173131,0.05008859999361448,0.05003209999995306,0.9453196999966167
32,deep,sonho,incongruent,87,IXUGXGQM,EngPor,m,True,0.958705099998042,152042.4076314,0.49998569997842424,0.09976720000850037,0.05003680000663735,0.05003109999233857,1.1519802999973763
33,ugly,lei,incongruent,82,TZQMIVLX,EngPor,m,True,1.0636533999931999,152044.5800519,0.49987440000404604,0.10004660001141019,0.049999099981505424,0.05007389999809675,1.273438600008376
34,knife,faca,congruent,18,HZNNNHBH,EngPor,z,True,0.7993849999911617,152046.4826227,0.4997060000023339,0.10011369999847375,0.04999680002219975,0.050351699988823384,1.043870199995581
35,harse,cavalo,control,103,UMOGKUZC,EngPor,z,True,0.7904906999901868,152048.4236291,0.49989850001293235,0.10036859998945147,0.04969300000811927,0.05002659998717718,1.017684000020381
36,lake,lobo,incongruent,60,BOEWUFHB,EngPor,z,True,1.2154498000163585,152050.7827991,0.5000252999889199,0.10051359998760745,0.04950069999904372,0.05004440000629984,1.4803340999933425
37,arm,caixa,incongruent,67,WRFHHRKQ,EngPor,z,True,0.8716313999902923,152052.8237058,0.5002076999808196,0.09992280000005849,0.049910200003068894,0.04995400001644157,1.153218499996001
38,uply,feio,control,131,GSDUWDLO,EngPor,m,True,0.779992099996889,152054.7988482,0.4997950000106357,0.10000989999389276,0.049995999987004325,0.05008529999759048,0.9862913000106346
39,week,tarde,incongruent,90,LKBSRPDH,EngPor,m,True,1.4039444000227377,152057.3066498,0.4999089000048116,0.10003949998645112,0.04997740001999773,0.05003269997541793,1.6007887000159826
