,prime,target,group,pair_index,mask,l1_l2,key_name,correct,response_time,key_tDown,fixation_dur,bm_dur,prime_dur,fm_dur,target_dur
0,capalo,horse,control,103,PVIDBUXM,PorEng,m,True,0.6186960999912117,229373.8226668,0.5004722999874502,0.0998457999958191,0.04966889999923296,0.051010700000915676,0.8181880000047386
1,fome,soft,incongruent,78,IZIJAPMG,PorEng,z,True,0.6062864999985322,229375.6169365,0.5008609999786131,0.09968290000688285,0.052304600016213953,0.05361919998540543,0.8392932999995537
2,cereja,button,incongruent,52,CZQZVOBM,PorEng,m,True,0.7621170000056736,229377.6851301,0.5007589999877382,0.0976045000134036,0.049248999974224716,0.05214850002084859,0.9742933999805246
3,deão,lion,control,123,EKXOVVSB,PorEng,m,True,0.61475700000301,229379.4898879,0.4979577000194695,0.1001168999937363,0.04977759998291731,0.05376860001706518,0.8179833999893162
4,escada,cream,incongruent,55,BCAWFAOX,PorEng,m,True,0.666397799999686,229381.5747605,0.5000613000011072,0.09945800001150928,0.04999080000561662,0.05312399999820627,0.8777364999987185
5,gato,cat,congruent,24,KEYKITTB,PorEng,z,False,0.5362391999806277,229383.2607315,0.4990583000180777,0.10210620000725612,0.04783509997650981,0.05073750001611188,0.7996285999834072
6,outono,autumn,congruent,43,BYATGWSX,PorEng,z,True,0.6380242000159342,229385.1315561,0.4994521999906283,0.10042660002363846,0.05010089999996126,0.053172699990682304,0.87786400000914
7,butão,button,congruent,1,IIGTXBTS,PorEng,m,True,0.6216597000020556,229386.9488619,0.5015795000072103,0.09810669999569654,0.04961879999609664,0.0538218000147026,0.8180371999915224
8,lei,law,congruent,32,FTPYNBVN,PorEng,z,True,0.7306909000035375,229388.8567572,0.49887509999098256,0.10068689999752678,0.05094960000133142,0.048749300010968,0.9783274999936111
9,caixa,arm,incongruent,67,AMTCWSDH,PorEng,m,True,0.6980918000044767,229390.9477747,0.5018802999984473,0.09798989997943863,0.04972700000507757,0.05774869999731891,0.9203603000205476
10,metade,better,incongruent,84,TVJJNLJW,PorEng,z,True,0.7417048000206705,229392.8697721,0.5001756999990903,0.09921030001714826,0.05005729998811148,0.053040800004964694,1.0272485000023153
