,response_time,group,pair_index,l1_l2,z_score_norm,exp_norm,rescaling_data
0,1003.06,congruent,24,PorEng,0.5525952585545896,1.5399501756445448e-10,0.6679106122916918
1,649.97,control,120,PorEng,0.2058172466618142,4.508751330879788e-12,0.616013240010465
2,552.09,incongruent,80,PorEng,0.10968699147456769,1.6942162566002059e-12,0.6016267810371538
3,942.54,congruent,39,PorEng,0.49315714000195215,8.407592405543979e-11,0.6590153477119535
4,697.83,incongruent,71,PorEng,0.25282168079812006,7.276283680448481e-12,0.6230477304728954
5,606.31,control,129,PorEng,0.16293773152618699,2.913689793936439e-12,0.6095960679755777
6,768.93,incongruent,61,PorEng,0.32265066673818155,1.4814704701283626e-11,0.6334980495677301
7,658.0,incongruent,82,PorEng,0.21370369894168328,4.8857375095209825e-12,0.617193494051696
8,580.43,control,104,PorEng,0.1375203734934332,2.249302680520657e-12,0.605792210617289
9,651.68,congruent,7,PorEng,0.20749667796923332,4.586513954195691e-12,0.6162645767988219
10,756.33,incongruent,93,PorEng,0.3102759097361454,1.3060863615363737e-11,0.6316460942851012
11,1016.74,control,148,PorEng,0.5660307090139433,1.7657050324251568e-10,0.6699213065985461
12,786.73,control,125,PorEng,0.3401324663124868,1.7700984303709938e-11,0.6361143038558885
13,703.93,congruent,1,PorEng,0.25881263458482007,7.73395402326669e-12,0.6239443119986126
14,666.02,congruent,16,PorEng,0.2215803299858365,5.293714897230743e-12,0.6183722782871471
15,633.49,control,108,PorEng,0.18963185020200807,3.823706531588267e-12,0.6135910000852488
16,676.37,control,147,PorEng,0.23174530895179485,5.87097223804775e-12,0.6198935272693067
17,564.6,control,119,PorEng,0.1219733573551608,1.9199905197795376e-12,0.6034655080677639
18,640.45,incongruent,64,PorEng,0.19646743026027572,4.099316483261248e-12,0.6146139849080343
19,768.76,congruent,8,PorEng,0.32248370573101126,1.4789541098414125e-11,0.6334730628694725
20,724.9,incongruent,81,PorEng,0.2794077658810661,9.538347461711224e-12,0.6270264947189879
21,706.85,congruent,38,PorEng,0.26168043541386343,7.963114947828506e-12,0.6243734952863329
22,804.34,control,143,PorEng,0.3574276624081898,2.1109438197597936e-11,0.6387026318342294
23,740.14,incongruent,63,PorEng,0.2943753291121004,1.11086073905835e-11,0.629266478727501
24,637.68,incongruent,57,PorEng,0.19374694796697084,3.987323677851563e-12,0.6142068487070118
25,690.95,congruent,46,PorEng,0.24606467062557966,6.792508056550383e-12,0.6220365040963488
26,595.33,incongruent,66,PorEng,0.15215401471012696,2.6107048658359226e-12,0.6079822212292868
27,777.04,incongruent,50,PorEng,0.3306156889037779,1.6066241163090507e-11,0.6346900620552001
28,934.31,control,133,PorEng,0.48507426300776496,7.743355768159741e-11,0.6578056975551251
29,669.2,control,132,PorEng,0.22470348294349332,5.464760238135113e-12,0.618839676525144
30,1455.75,incongruent,91,PorEng,0.9971927781777468,1.4240143304202193e-08,0.7344472501403664
31,586.27,control,136,PorEng,0.1432559751515199,2.384573419066274e-12,0.6066505771927297
32,698.92,congruent,11,PorEng,0.25389219549115327,7.356028994986085e-12,0.6232079393029005
33,642.15,incongruent,88,PorEng,0.19813704033197896,4.169600585679932e-12,0.6148638518906112
34,738.72,control,100,PorEng,0.29298071364044237,1.0951979853009869e-11,0.6290577663067602
35,628.57,control,139,PorEng,0.18479980222978443,3.6401331054546615e-12,0.6128678556415555
36,603.61,incongruent,62,PorEng,0.16028599788289358,2.8360727152427633e-12,0.6091992204150144
37,571.81,incongruent,90,PorEng,0.1290544683063259,2.0635344157571868e-12,0.6045252380350461
