,prime,target,class,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_duration
0,peixe,bridge,incongruent,63,LOQNUNXK,m,True,1.5457045000002836,25938.8996951,0.4943499000000884,0.09606110000095214,0.05612730000211741,0.04915449999680277,61.01348275926998
1,leão,wardrobe,incongruent,73,KZZBMFAT,m,True,1.598304499999358,25941.7389798,0.4758414999996603,0.10025060000043595,0.05105150000235881,0.050783799997589085,60.59419883279826
2,daixa,box,control,117,NMIRHOIU,m,True,0.635804300000018,25943.6891315,0.487132099999144,0.09908569999970496,0.05047800000102143,0.049581300001591444,59.3175398416864
3,knife,faca,congruent,18,LOQNUNXK,m,True,2.6285365000003367,25951.444451,0.48418709999896237,0.10009980000177165,0.0500584000001254,0.049948700001550606,59.83280321408132
4,poubt,dúvida,control,126,KZZBMFAT,z,True,0.8152706000000762,25953.4219881,0.48003070000049775,0.10237380000035046,0.05003999999826192,0.0490276000018639,60.169268184860385
5,bice,bicicleta,control,114,NMIRHOIU,m,True,1.0479419000002963,25956.101693,0.4814596999967762,0.09956460000103107,0.0500054000003729,0.05008989999987534,59.48726734605519
6,straw,ponte,incongruent,62,GVLQJWZL,m,True,0.7750114999980724,25958.1866089,0.47567720000006375,0.10000189999846043,0.05197699999916949,0.05033460000049672,59.264843324598644
