,prime,target,group,pair_index,mask,l1_l2,key_name,correct,response_time,key_tDown,fixation_dur,bm_dur,prime_dur,fm_dur,target_dur
0,DEEP,sonho,incongruent,87,JVWKJJKH,EngPor,m,True,0.8766683000003468,3553.9942187,0.6865985999997974,0.09872009999980946,0.049634400000286405,0.05189669999981561,1.0444480999999541
1,TOOTH,dente,congruent,19,WPRCQJLI,EngPor,z,True,0.8696771999998418,3555.9549961,0.6875194999997802,0.09614620000002105,0.0495786000001317,0.05197109999971872,1.109727600000042
2,DAIN,chover,control,149,WMPIVBUG,EngPor,m,True,0.6734225999998671,3557.7762503,0.6862656000002971,0.09754599999996572,0.04997539999976652,0.05197290000023713,0.8874366000000009
3,LAKE,lago,congruent,9,VDZXCIMM,EngPor,z,True,0.7937901000000238,3559.6961561,0.6875770999999986,0.09529269999984535,0.051062500000170985,0.05082119999997303,1.042667100000017
4,LAW,lei,congruent,32,SIXONIMV,EngPor,m,True,0.6439582999996674,3561.4966363,0.686739000000216,0.09602029999996375,0.05046619999984614,0.05088470000009693,0.8461400000001049
5,CLIMP,escalar,control,129,OEMGMUWB,EngPor,m,True,1.0675240999999005,3563.6709786,0.6866614999999001,0.09720029999971302,0.0494978000001538,0.05108040000004621,1.2702896999999211
6,PARDROBE,armário,control,122,BITSZZPW,EngPor,z,True,0.9550365999998576,3565.7422818,0.6871091000002707,0.09602889999996478,0.0501377999999022,0.051079700000173034,1.2007634999999937
7,PATE,atrasado,control,148,IIILIBXU,EngPor,m,True,0.8519076000002315,3567.740369,0.686815999999908,0.09699330000012196,0.05006619999994655,0.05194729999993797,1.0443070000001171
8,SUMMER,verão,congruent,47,UTYIWKIO,EngPor,m,True,0.7036716000002343,3569.5431029,0.6866791000002195,0.09643289999985427,0.05040469999994457,0.05223660000001473,0.9079421000001275
9,DANBER,perigo,control,145,YYZYBGTH,EngPor,m,True,0.7001814000000195,3571.3584171,0.687714600000163,0.09612029999971128,0.049002000000200496,0.05405560000008336,0.9205068999999639
10,DABBIT,coelho,control,121,IEAFCWAG,EngPor,z,True,0.7299250000000939,3573.2204424,0.6860013999998955,0.09829540000009729,0.04997629999979836,0.05193910000025426,0.9313959000000978
11,CET,gato,control,124,PINOTNVV,EngPor,z,True,0.7197395000002871,3575.0593852,0.6861982000000353,0.11421200000040699,0.049540199999682955,0.0512072999999873,0.9516837999999552
12,LIOM,leão,control,123,YJECCAEG,EngPor,z,True,0.9391423000001851,3577.1454462,0.687185799999952,0.0961843999998564,0.050045500000123866,0.050478499999826454,1.1630614000000605
13,BIX,caixa,control,117,OWUVWGMV,EngPor,z,True,1.1872138999997333,3579.4619691,0.6879349999999249,0.09575999999970009,0.050099800000225514,0.051413099999990663,1.4039624000001822
14,DEEB,profundo,control,136,LHNWYEPA,EngPor,m,True,0.6576962999997704,3581.2500781,0.6868495999997322,0.09737859999995635,0.0492671000001792,0.05250019999994038,0.8784461999998712
15,BUTTON,butão,congruent,1,IYVNFDCP,EngPor,z,True,1.1875944999997046,3583.564388,0.6873353000000861,0.09579219999977795,0.05020360000025903,0.053158799999891926,1.4155122000001938
16,ARN,braço,control,116,MZMVOQDK,EngPor,z,True,0.7752752999999757,3585.4684385,0.6861729000002015,0.09710189999987051,0.05019560000027923,0.0514312999998765,0.9929333999998562
17,PRIDGE,ponte,control,112,CNFEAGQZ,EngPor,z,True,0.7796401999999034,3587.3723869,0.6865759000002072,0.096882899999855,0.0507820000002539,0.050764499999786494,0.9866436000002068
18,RABBIT,armário,incongruent,72,PERTHREV,EngPor,z,True,0.7511739999999918,3589.2454079,0.6863792999997713,0.09694050000007337,0.05054810000001453,0.05186349999985396,0.9337426000001869
19,SHOE,morango,incongruent,57,DMHYWTAQ,EngPor,z,True,0.7029514000000745,3591.046337,0.6861495999996805,0.10210360000019136,0.05004019999978482,0.05136250000032305,0.9330512999999883
20,PISH ,peixe,control,113,GVYOJRCH,EngPor,z,True,0.7312627000001157,3592.90943,0.6860762999999679,0.0977418000002217,0.05009340000015072,0.05159589999993841,0.984247399999731
21,FICE,fogo,control,115,QRBJKBJT,EngPor,z,True,0.653150000000096,3594.729267,0.6849057000003995,0.09672609999961423,0.04956170000014026,0.05220099999996819,0.9182590000000346
22,DAW,lei,control,132,IKHSCECC,EngPor,m,True,0.6741151000001082,3596.567425,0.6860799000000952,0.09722560000000158,0.05005909999999858,0.05165560000023106,0.8701208999996197
23,BADDER,escada,control,105,HGITCXLD,EngPor,z,True,1.4300733000000037,3599.0903854,0.686009600000034,0.09713139999985287,0.05006180000009408,0.05094390000022031,1.6863381999996818
24,AUTUMN,outono,congruent,43,ZNLUBESN,EngPor,m,True,0.7324934000002941,3600.9788732,0.6866793000003781,0.09760519999963435,0.04987370000026203,0.05139809999991485,0.9550852000002124
25,KNIFE,dente,incongruent,69,RWNBUPSX,EngPor,z,True,0.671588900000188,3602.7848508,0.6865850999997747,0.09826329999987138,0.04943060000005062,0.051090299999941635,0.9098824000002423
26,KNIPE,faca,control,118,JNQWJROG,EngPor,z,True,1.4573128000001816,3605.3879284,0.6862277999998696,0.09731389999979001,0.0502267000001666,0.05097119999982169,1.7251077000000805
27,THROAD,garganta,control,108,BQQFEIAY,EngPor,z,True,1.1928690999998253,3607.7571011,0.6877176999996664,0.09551390000024185,0.05082489999995232,0.051231299999926705,1.4649030999999013
28,MONENT,momento,control,142,CHRAJFGI,EngPor,m,True,0.8186225999997987,3609.7670595,0.6866703000000598,0.0975284000001011,0.04981950000001234,0.05151759999989736,1.0452801000001273
29,COW,vaca,congruent,0,ZIHCRFAB,EngPor,z,True,1.017944300000181,3611.9169391,0.6871791999997185,0.09598480000022391,0.050789899999927,0.05076199999984965,1.270328700000391
