,response_time,group,pair_index,l1_l2,z_score_norm,exp_norm,rescaling_data
0,0.6209566000034101,incongruent,68,PorEng,-0.9833381765631651,0.004196080373451651,0.09228563074469626
1,0.8539944999793079,control,119,PorEng,0.7357155712656366,0.0042058702336470934,0.3396408201114233
2,0.8559304999944288,incongruent,96,PorEng,0.7499968880906445,0.004205951660083659,0.34169576332196444
3,0.6450807999935932,incongruent,60,PorEng,-0.8053808725761956,0.004197092766383629,0.1178919636953009
4,0.6674880000064151,incongruent,85,PorEng,-0.640089384949613,0.004198033322726752,0.14167580830994475
5,0.6933570999826769,control,138,PorEng,-0.449260454240272,0.004199119456644522,0.16913424371481606
6,0.5553176999965217,control,109,PorEng,-1.4675375152624575,0.00419332701618668,0.022614034224530243
7,0.7269036999787204,congruent,40,PorEng,-0.2017968079575144,0.004200528354757493,0.20474186631821836
8,0.6878255000046921,congruent,8,PorEng,-0.4900654806957455,0.004198887184577822,0.16326279550747755
9,0.6151807999995071,control,133,PorEng,-1.0259445965680052,0.004195838023240176,0.0861549794478148
10,0.53401259999373,congruent,24,PorEng,-1.6246991272210896,0.004192433718834763,0.0
11,0.6143974000005983,control,145,PorEng,-1.0317235136639482,0.004195805153173901,0.08532344923277238
12,0.9172458999964874,incongruent,82,PorEng,1.2023030073273118,0.004208531346959774,0.40677823437141375
13,0.8889475000032689,control,149,PorEng,0.9935538271684959,0.0042073405684189555,0.3767412485857458
14,0.5804523999977391,congruent,9,PorEng,-1.2821260425272747,0.004194381128820743,0.04929294988211227
15,0.6269437999872025,control,130,PorEng,-0.9391723195407523,0.004196331608695993,0.09864066992896886
16,0.687456400017254,congruent,31,PorEng,-0.4927882254372429,0.004198871686514354,0.16287101890248137
17,0.5924981000134721,control,139,PorEng,-1.1932683684776504,0.004194886401820261,0.062078708802676665
18,0.5864780000119936,control,123,PorEng,-1.2376769194940997,0.004194633873065241,0.055688748302576134
19,0.7330439000215847,congruent,41,PorEng,-0.1565023133830432,0.004200786283519922,0.21125930551806255
20,0.639004999975441,incongruent,99,PorEng,-0.8502003066396812,0.004196837767167267,0.11144288110315669
21,0.7079658999864478,congruent,34,PorEng,-0.34149552673122274,0.004199732942418226,0.1846405733364232
22,0.6256543000054079,congruent,33,PorEng,-0.9486845910500582,0.004196277497349547,0.09727194616249916
23,0.7371383999998216,control,146,PorEng,-0.12629836143445033,0.004200958288234729,0.21560536175004708
24,0.7072010999836493,incongruent,94,PorEng,-0.34713723699073895,0.0041997008229833896,0.18382878585662077
25,0.6116067999973893,incongruent,81,PorEng,-1.0523089694833818,0.004195688066668877,0.08236140146152171
26,0.6160372000013012,control,126,PorEng,-1.0196271793887524,0.004195873956550949,0.08706399461075334
27,0.6339579999912529,control,127,PorEng,-0.8874305779346414,0.004196625958110868,0.10608580555041681
28,0.6295646000071429,congruent,27,PorEng,-0.9198394294955955,0.004196441587596788,0.1014224856134207
29,0.7355855999921914,incongruent,65,PorEng,-0.1377529217142214,0.004200893056260571,0.2139571614359534
30,0.6957110000075772,incongruent,91,PorEng,-0.43189640890585335,0.0041992183008818,0.17163276170896974
31,0.7644507999939378,control,125,PorEng,0.07517737953704377,0.004202105827469117,0.2445957700626141
32,0.6411420000076761,congruent,28,PorEng,-0.8344362703395605,0.004196927454550011,0.11371117328955586
33,0.7169800999981817,congruent,44,PorEng,-0.2750003587115474,0.0042001115318087605,0.19420858416694736
34,0.7356408000050578,congruent,47,PorEng,-0.13734572705185957,0.004200895375154719,0.2140157528051557
35,0.7396695000061301,incongruent,59,PorEng,-0.10762716266195806,0.004201064620035904,0.21829196646726828
36,0.693565999972634,control,141,PorEng,-0.44771945893137893,0.0041991282286138075,0.1693559780188923
37,0.9510450000234414,congruent,1,PorEng,1.451629273915644,0.00420995403309341,0.44265387000174183
38,0.7788120999757666,congruent,32,PorEng,0.18111657037256812,0.004202709347828202,0.25983939385481714
39,0.780652999994345,control,128,PorEng,0.19469636179981065,0.004202786716217501,0.26179339435322435
40,0.9755399999849032,control,101,PorEng,1.6323218629373109,0.004210985387642184,0.4686537839841112
41,0.8368378000159282,congruent,6,PorEng,0.6091555165471877,0.004205148707007108,0.3214300536704761
42,0.7982494000170846,congruent,13,PorEng,0.3244999577407017,0.004203526320450141,0.2804708749701008
43,0.7523549000034109,congruent,48,PorEng,-0.014050605328200603,0.0042015975756901636,0.23175672700126126
44,0.707756599993445,control,140,PorEng,-0.34303947274785435,0.00419972415238667,0.18441841445407395
