,prime,target,class,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
70,semata,week,control,139,EPQXMKQK,z,True,0.7526149000004807,27666.5481462,0.4748379000011482,0.10115280000172788,0.05070489999707206,0.049544800000148825,61.23811215179834
71,bicicleta,bike,congruent,14,XGTSUOMR,m,True,-3.1344204999986687,27664.6281439,0.4779441999999108,0.10084600000118371,0.05016780000005383,0.04900479999923846,59.870524004690985
72,suave,doubt,incongruent,77,XHISZQTT,z,True,0.6514052999991691,27670.494031,0.4861458000013954,0.09930639999947743,0.04955619999964256,0.049622499998804415,60.29853806254439
73,semana,dry,incongruent,89,MQXQGMJV,z,True,0.761239100000239,27672.5058944,0.48698700000022654,0.10096980000162148,0.050067699998180615,0.049600199999986216,60.02512651843082
74,gato,lion,incongruent,74,BLLTRIJA,m,True,-5.094327399998292,27668.6010127,0.48769309999988764,0.09944960000211722,0.049987699996563606,0.050326100001257146,59.76186093558519
75,dantar,sing,control,146,TLRAOBQZ,z,True,1.002621999999974,27676.9641569,0.4823913000000175,0.1000744000011764,0.0513104999990901,0.04960879999998724,60.36219732822755
76,cantar,danger,incongruent,96,BSGXHSYL,z,True,0.7546718000012334,27678.8831335,0.48407489999954123,0.10010630000033416,0.05006919999868842,0.05007359999945038,59.58080139745767
77,nomento,moment,control,142,XUPETOHJ,m,False,-5.414475100002164,27674.6810719,0.4784343999999692,0.10037629999715136,0.04914670000289334,0.04909330000009504,60.1869044137934
78,bosse,cough,control,144,IEHOXFAR,z,True,0.6985664999992878,27683.083382,0.4850925999999163,0.10093810000034864,0.04902360000050976,0.0516868999984581,59.78165348908404
79,outobo,autumn,control,143,KBDFLZJT,z,True,1.0748528999974951,27685.4541573,0.48073719999956666,0.09837469999911264,0.0510074000012537,0.048848499998712214,60.21397638646148
80,alegria,joy,congruent,30,GAOVCCDK,z,True,0.7250295000012557,27687.4060488,0.4901360999974713,0.09918360000301618,0.05004539999936242,0.05012399999759509,60.634209578625175
81,fundo,evening,incongruent,91,LCYTJXMD,z,True,0.7341678999982832,27689.3310765,0.49155640000026324,0.09975829999893904,0.04974740000034217,0.048633099999278784,59.501425654559064
82,atrasaco,late,control,148,HUPGPOBA,z,True,2.3064321000019845,27692.886854,0.48462970000036876,0.09834909999699448,0.05058389999976498,0.049810900000011316,60.950226216575764
83,lago,throat,incongruent,59,OGDELWAX,z,False,0.8325002999990829,27694.9649301,0.48905390000072657,0.09681929999715067,0.051132100001268554,0.050418599999829894,60.31952458592982
84,bicibleta,bike,control,114,EHGAWPRU,m,True,-15.12107130000004,27681.0280609,0.4884337000003143,0.10090860000127577,0.04914949999874807,0.05023140000048443,59.498735056124644
85,butão,cow,incongruent,51,LMJBEUKP,z,False,0.8029956999998831,27698.8256087,0.48408610000115004,0.10083970000050613,0.052160100000037346,0.05034019999948214,59.329047797514626
86,canudo,wolf,incongruent,61,EXFDZOZC,m,True,-3.2300016000008327,27696.8377658,0.478420700001152,0.09983640000064042,0.051209499997639796,0.04768020000119577,59.88619228070312
87,atrasado,summer,incongruent,98,XTWAGNSW,z,True,2.5113959000009345,27706.4131242,0.4811749000000418,0.10064069999862113,0.04970369999864488,0.04978310000296915,59.43988606577949
88,fogo,bike,incongruent,65,PMXYICJP,m,True,-4.902089199997135,27702.7497857,0.4756314000005659,0.10069690000091214,0.05049489999873913,0.04965260000244598,59.505178735057754
89,outono,autumn,congruent,43,ABDDMWOQ,z,True,1.3108878999992157,27710.816496,0.4842056000015873,0.09778029999870341,0.05173519999880227,0.04999600000155624,59.87288985449957
90,lei,ugly,incongruent,82,PESJVLVF,z,True,0.8737832000006165,27712.944891,0.4788595999998506,0.09748889999900712,0.050759500001731794,0.04983129999891389,59.92412407361239
91,arnário,wardrobe,control,122,HUKKZJHI,z,False,0.9644739999966987,27715.057896,0.4891313000007358,0.10415199999988545,0.04793739999877289,0.05057500000111759,60.1425981006734
92,braço,arm,congruent,16,TBCNNLAQ,m,True,-7.966980199998943,27708.2860253,0.4890317000026698,0.09743609999713954,0.049424100001488114,0.0496181999988039,59.72613179494177
93,cegar,rain,incongruent,75,GAJJXPDQ,z,True,1.862463099998422,27720.167284,0.4771896000020206,0.09937150000041584,0.05001799999809009,0.05064219999985653,60.18273886771889
94,coelho,plate,incongruent,71,URXDKVCR,m,True,-4.345242899998993,27717.0763883,0.4876549000000523,0.10112579999986337,0.04565319999892381,0.050362400001176866,60.02202808477692
95,lovo,wolf,control,110,NNGHMCWW,m,True,-1.2746017000026768,27722.751091,0.47765939999953844,0.10065709999980754,0.048748799999884795,0.05034250000244356,59.86636629669089
96,alegria,climb,incongruent,80,PILPXHDA,z,True,2.398191099997348,27728.838986,0.49105169999893405,0.10042939999766531,0.04957050000302843,0.049044299998058705,61.07332707947063
97,ponte,straw,incongruent,62,UQMENTOU,m,True,-4.775543199997628,27725.2544363,0.47794490000160295,0.10027579999950831,0.053599799997755326,0.04817410000032396,60.03546895562193
98,gato,cat,congruent,24,ILTTFRLG,m,True,-1.3164074000014807,27730.9762608,0.47999399999753223,0.10080799999923329,0.05100250000032247,0.05017990000123973,59.18928437098271
99,fome,hunger,congruent,28,XWSYYJDS,z,True,0.7822980000019015,27735.0118846,0.4856276999998954,0.09951100000034785,0.051062200000160374,0.05015039999852888,59.8335908160888
100,lobo,wolf,congruent,10,KWYCTVWZ,m,True,-3.496535499998572,27732.9641892,0.48840479999853414,0.09848190000047907,0.049060800000006566,0.05133630000273115,60.87171954690302
101,suabe,soft,control,127,IOSQFMLR,z,True,0.7356475999986287,27739.2490734,0.4797376000024087,0.10086239999873214,0.05095200000141631,0.051035299999057315,60.258751077473576
102,prato,plate,congruent,20,VQQNXOWI,m,True,-3.27048780000041,27737.3565823,0.48368739999932586,0.09874159999890253,0.048847999998542946,0.050144500000897096,61.168140207506596
103,peite,fish,control,113,DAHCQTTH,m,True,-1.2465592000007746,27741.3839253,0.4823385000017879,0.10119539999868721,0.04882509999879403,0.04987980000078096,59.404646631757515
104,deão,lion,control,123,ICHDWKAO,m,True,-1.1809084999986226,27743.7499381,0.47611800000231597,0.100423599997157,0.05048960000203806,0.049953899997490225,59.34591308502733
105,leão,wardrobe,incongruent,73,ZHDZTDFT,m,True,-1.2140517000007094,27745.5163986,0.47913139999946,0.0986566000028688,0.049000699997122865,0.05136740000307327,58.90617130462506
106,outono,moment,incongruent,93,OROHXPJY,z,True,0.9738647000012861,27749.8538931,0.49053189999904134,0.10179380000045057,0.04848869999841554,0.049472300001070835,59.62439019253751
107,profundo,sadness,incongruent,86,HCOXNMNA,z,True,0.702219699996931,27751.7660266,0.4846351999985927,0.09858259999964503,0.0509715000007418,0.050590200000442564,60.02501842732801
108,dente,knife,incongruent,69,AECUPSVA,m,True,-5.557533799998055,27747.5768107,0.4885456999982125,0.09833939999953145,0.05121330000110902,0.04947850000098697,60.710114063069035
109,toelho,rabbit,control,121,LWXJYKPA,m,True,-1.2457723999978043,27753.8520437,0.47491230000014184,0.1014205999999831,0.04789140000139014,0.051405599999270635,59.64469654176019
110,tosse,autumn,incongruent,94,OFPIEZAM,z,True,0.7027510000007169,27757.6538549,0.48571289999745204,0.10004599999956554,0.050292200001422316,0.04976349999924423,60.36460219772627
111,faca,box,incongruent,68,SUMSQMVH,m,True,-3.197578799998155,27755.8011138,0.47809870000128285,0.09866899999906309,0.050302499999816064,0.050425400000676746,59.73230370765169
112,armário,rabbit,incongruent,72,ZWGVOLUS,m,True,-1.2362424999992072,27759.9125562,0.4863083000018378,0.10065369999938412,0.049126699999760604,0.05023069999879226,60.66934056670301
113,caixa,arm,incongruent,67,CXZEKFAS,m,True,-1.1790400999998383,27761.751991,0.4870489999993879,0.10203910000200267,0.04983139999967534,0.048242900000332156,60.126036196520424
114,deio,ugly,control,131,WKMBJQIA,z,True,0.7052777999997488,27765.5058927,0.48297110000203247,0.09875059999831137,0.048470500001712935,0.05125000000043656,60.01006968952248
115,dúvida,blind,incongruent,76,TIGCAGRP,z,True,1.371888099998614,27768.0706049,0.4782515999977477,0.10011080000185757,0.05040519999965909,0.04966499999864027,59.76225380266246
116,crene,cream,control,104,XJLZNFJD,m,True,-5.612959699999919,27763.6260488,0.49236259999815957,0.0960088000028918,0.04975489999924321,0.053052100000059,59.38735999387847
117,semana,week,congruent,39,RGLTLZBV,z,True,0.7073467000009259,27771.9756948,0.4779583999988972,0.10304330000144546,0.05036409999956959,0.047888499997498,61.06344430741543
118,canudo,straw,congruent,11,UBHBQTGX,m,True,-3.2041443000016443,27770.0986304,0.48082159999830765,0.10003040000083274,0.0500995000002149,0.050459699999919394,59.22174338159276
119,vaca,cat,incongruent,50,ADWVFFRW,m,True,-1.1950224000029266,27773.9738739,0.4876369999983581,0.10260249999919324,0.04859570000189706,0.04946709999785526,58.726699447654845
120,prafundo,deep,control,136,ORWDFCGY,z,True,0.7090482999992673,27777.7460354,0.4768320000002859,0.09941500000059023,0.049591299997700844,0.049552100001164945,59.46105687335141
121,bicicleta,fish,incongruent,64,XGWCQQHD,m,True,-3.371407499998895,27775.7990431,0.4879928000009386,0.10030009999900358,0.05131310000069789,0.04836530000102357,59.60836114607588
122,escalar,hunger,incongruent,79,ZCOJYHNI,z,True,0.6782184999974561,27781.8030022,0.4973592999995162,0.10360980000041309,0.048243299999739975,0.05066599999918253,60.4269405055087
123,perigo,danger,congruent,45,SQKSYDKD,z,True,1.105909399997472,27784.2132067,0.4879147000028752,0.10030120000010356,0.05083499999818741,0.04866039999978966,60.496360539639184
124,chover,rain,congruent,49,OFLXMHHM,m,False,-5.693693700002768,27779.8279824,0.4774641000003612,0.10312189999967813,0.0488614999994752,0.0491081000000122,60.4490396456767
125,profundo,deep,congruent,36,YZRMQWKM,z,True,0.6827259999990929,27788.1868685,0.48769180000090273,0.10001589999956195,0.049596000000747154,0.050006999998004176,60.613517905869124
126,oscada,ladder,control,105,JTKQQLXH,m,True,-3.2042575999985274,27786.3016777,0.47622100000080536,0.10003429999778746,0.05045740000059595,0.05103570000210311,60.455252230416974
127,terão,summer,control,147,ZEHCHFKY,z,True,0.6469379999980447,27792.0406198,0.48097409999900265,0.10070600000108243,0.04925599999842234,0.05010519999996177,60.79785018828045
128,armário,wardrobe,congruent,22,KEQZSBQP,z,False,0.7403391999978339,27794.0677663,0.4739841999980854,0.10157540000000154,0.050122000000556,0.05045790000076522,60.66860442294816
129,tarde,week,incongruent,90,KBAYGFZL,z,True,1.8766519999990123,27797.0837778,0.4915163000005123,0.09890309999900637,0.049397099999623606,0.050817300001654075,59.65088721707848
130,tristeza,half,incongruent,85,WHJHNGBU,z,True,0.7028271000017412,27798.9951202,0.47864429999754066,0.10150710000016261,0.048841100000572624,0.049520500000653556,59.519947812623236
131,momento,moment,congruent,42,PRXTWLXO,z,True,1.2284026999986963,27801.4719973,0.4794008000026224,0.10080679999737185,0.05017829999997048,0.04951740000251448,60.61237898706533
132,fundo,bottom,congruent,41,ITDUMMTV,z,True,3.9591174999986833,27806.7007953,0.47651570000016363,0.10025619999942137,0.0502556999999797,0.049407000002247514,61.66296380587228
133,verão,sing,incongruent,97,UKSTREJS,z,True,1.006244299998798,27808.9349629,0.47625829999742564,0.10070990000167512,0.04990650000036112,0.05035669999779202,60.52378494000769
134,capalo,horse,control,103,QJKCCLZM,m,True,-19.963314600001468,27790.1817438,0.4744042999991507,0.10070170000108192,0.04895349999787868,0.05133330000171554,61.3521774510695
135,choter,rain,control,149,WQQMZPHJ,m,False,-1.1974979999977222,27811.2681812,0.4774649999999383,0.10166640000170446,0.051165699998819036,0.0495431000017561,60.08918436755062
136,cavalo,horse,congruent,3,XBXFGIXF,m,True,-1.5249245000013616,27813.4718454,0.4772902000004251,0.10031289999824367,0.04725920000055339,0.05043139999906998,60.03453186271123
137,ponde,bridge,control,112,RRGKYDQU,m,True,-1.206016100000852,27815.860102,0.4776799999999639,0.09955679999984568,0.04945439999937662,0.05209780000222963,59.36416233004961
138,dúvida,doubt,congruent,26,JKJDUVJX,z,True,0.7627739999988989,27819.9438795,0.48941190000186907,0.10104339999816148,0.04827130000194302,0.05068870000104653,60.301374207724756
139,metade,half,congruent,34,LEZLCNBJ,z,True,0.6356440000017756,27821.8218864,0.48429329999999027,0.10122860000046785,0.051040099999227095,0.04939100000046892,59.52249861144141
140,chover,late,incongruent,99,NOCAXPQJ,z,True,1.9822284000001673,27825.0979912,0.47855859999981476,0.1003963000002841,0.04863479999767151,0.050594800002727425,59.75807540632328
141,peixe,fish,congruent,13,EUYFYUUF,m,True,-8.658856199999718,27817.9408476,0.4808076999979676,0.10015150000253925,0.05042869999670074,0.04912289999992936,59.8589483731656
142,receja,cherry,control,102,RWTAAGRX,m,True,-1.148583400001371,27827.3851033,0.4872279000010167,0.1024511999967217,0.04854450000129873,0.049614999999903375,60.070342370690675
143,leão,lion,congruent,23,ZBWPWPVW,m,True,-1.1803250000011758,27829.653221,0.4903548000002047,0.1012458000004699,0.05077059999894118,0.048040099998615915,59.30255451768853
144,feio,joy,incongruent,81,OPYKGXHP,m,False,-1.1438938999999664,27831.8039561,0.4804447999995318,0.10069239999938873,0.04979200000161654,0.04815249999955995,60.46088120457477
145,tosse,cough,congruent,44,JYARCISD,z,True,0.7312740999987,27835.6181985,0.4822219000016048,0.10047420000046259,0.04983439999705297,0.0487914000004821,60.45108600295882
146,bitão,button,control,101,BSIAOGFV,m,True,-3.078144399998564,27833.8078866,0.48355460000311723,0.10026649999781512,0.04962630000227364,0.050781399997504195,61.145213155198476
147,lugo,lake,control,109,YBLONECO,m,True,-1.2203434000002744,27838.534538,0.48077159999957075,0.10044919999927515,0.04778910000095493,0.05155929999818909,60.37436939029113
148,morango,strawberry,congruent,7,YVKSTRXL,m,True,-1.1713978000007046,27840.5675726,0.48646500000177184,0.09953870000026654,0.050778900000295835,0.0498154999986582,59.97843175579596
149,prado,plate,control,120,YOMLUIXK,m,True,-1.1876144999987446,27843.0854836,0.49017259999891394,0.10149259999889182,0.04927200000020093,0.04996750000282191,59.80939940550654
150,bland,cegar,control,125,ZQQDGYRT,z,True,2.1166796000034083,27860.6206568,0.5536558000021614,0.0982265999991796,0.048562899999524234,0.050142399999458576,60.02228027020536
151,badder,escada,control,105,NNTJBAUK,m,True,-16.919904000002134,27844.8871702,0.488962100000208,0.10015869999915594,0.050135400000726804,0.05036570000083884,59.33682787759293
152,cat,gato,congruent,24,BOQQUZDI,m,True,-1.1733165000005101,27862.6661361,0.4845529999984137,0.09930960000201594,0.04869699999835575,0.050321599999733735,60.42445764492661
153,deeb,profundo,control,136,ZIGGKBKH,z,True,0.7549303000014334,27866.4128424,0.4906227999999828,0.09963600000264705,0.04839010000068811,0.05063959999824874,59.56912460799539
154,bolf,lobo,control,110,DWMHTEHY,m,True,-3.1314797999984876,27864.4942371,0.49079379999966477,0.09821020000163116,0.05099049999989802,0.050065199997334275,60.386327569375375
155,ugly,feio,congruent,31,XLVGCNDB,z,True,1.8884561999984726,27871.516128,0.48238649999984773,0.09830629999851226,0.05262520000178483,0.048741599999630125,60.5404567650003
